UnitID,ds,y,heinous_count,cyber_count,is_festival_week,week_of_year,month,year
1,2023-01-02,7,6,0,0,1,1,2023
1,2023-01-09,3,2,1,0,2,1,2023
1,2023-01-16,8,2,1,0,3,1,2023
1,2023-01-23,7,2,1,0,4,1,2023
1,2023-01-30,11,5,1,0,5,1,2023
1,2023-02-06,10,6,3,0,6,2,2023
1,2023-02-13,7,3,2,0,7,2,2023
1,2023-02-20,8,5,1,0,8,2,2023
1,2023-02-27,6,6,0,0,9,2,2023
1,2023-03-06,11,7,2,1,10,3,2023
1,2023-03-13,7,3,3,1,11,3,2023
1,2023-03-20,10,8,0,1,12,3,2023
1,2023-03-27,4,4,0,1,13,3,2023
1,2023-04-03,8,3,0,0,14,4,2023
1,2023-04-10,5,3,0,0,15,4,2023
1,2023-04-17,11,7,1,0,16,4,2023
1,2023-04-24,7,3,2,0,17,4,2023
1,2023-05-01,8,6,0,0,18,5,2023
1,2023-05-08,6,4,0,0,19,5,2023
1,2023-05-15,11,9,0,0,20,5,2023
1,2023-05-22,4,2,1,0,21,5,2023
1,2023-05-29,8,3,2,0,22,5,2023
1,2023-06-05,4,3,0,0,23,6,2023
1,2023-06-12,8,6,0,0,24,6,2023
1,2023-06-19,2,2,0,0,25,6,2023
1,2023-06-26,5,4,0,0,26,6,2023
1,2023-07-03,5,3,1,0,27,7,2023
1,2023-07-10,5,4,0,0,28,7,2023
1,2023-07-17,8,6,0,0,29,7,2023
1,2023-07-24,10,5,2,0,30,7,2023
1,2023-07-31,5,3,0,0,31,7,2023
1,2023-08-07,11,7,1,0,32,8,2023
1,2023-08-14,7,4,0,0,33,8,2023
1,2023-08-21,10,8,1,0,34,8,2023
1,2023-08-28,9,4,3,0,35,8,2023
1,2023-09-04,7,5,0,0,36,9,2023
1,2023-09-11,4,4,0,0,37,9,2023
1,2023-09-18,5,5,0,0,38,9,2023
1,2023-09-25,7,3,0,0,39,9,2023
1,2023-10-02,9,4,1,1,40,10,2023
1,2023-10-09,6,3,1,1,41,10,2023
1,2023-10-16,8,4,3,1,42,10,2023
1,2023-10-23,5,3,0,1,43,10,2023
1,2023-10-30,10,8,2,1,44,10,2023
1,2023-11-06,8,3,0,1,45,11,2023
1,2023-11-13,6,3,1,1,46,11,2023
1,2023-11-20,6,5,0,1,47,11,2023
